stock_code,linear_regression: score,decision_tree: score,random_forest: score,support_vector_machine_linear: score,support_vector_machine_poly: score,support_vector_machine_rbf: score,lstm: score,linear_regression: mean_absolute_error,decision_tree: mean_absolute_error,random_forest: mean_absolute_error,support_vector_machine_linear: mean_absolute_error,support_vector_machine_poly: mean_absolute_error,support_vector_machine_rbf: mean_absolute_error,lstm: mean_absolute_error
HK.00700,-0.6030242354545909,-2.3563572223378006,-2.100493652596509,-1.0285021921005937,-3.4766566000243824,-2.5581089559989976,0.809887360265424,29.69119831368375,41.91318431168831,40.40726942077922,32.73676009365732,47.56682217633976,42.92935255135592,10.573312836428045
HK.00005,0.0411775642968336,-2.136938562299722,-0.3806156569315562,0.1283718043586137,-0.1208486828729145,-0.7394285524256978,0.9230228874051986,2.31334727878167,4.541846415584415,2.9773399948051944,2.230717819639913,2.612904844187693,3.334930581504732,0.7349922854752396
HK.01299,0.4843639620634722,-0.2333495886849645,-0.1563818874620486,0.4530409122103492,-2.464538802430051,-10.85221720747724,0.9569831411546128,4.377216774610575,7.104607792207793,6.779722337662338,4.531574804482847,11.287374458360604,20.584250271539865,1.200757884964856
HK.00939,-1.3962526578310812,-8.081708869232171,-6.549584908236134,-0.9582789126631664,-2.427099024747833,-1.9189422400817229,0.8862397925985317,0.3528338511530763,0.7299137142857144,0.7033916207792209,0.3400064217999584,0.4347194767251613,0.4064474109044616,0.0828768772567659
HK.00388,0.2048237122195205,-1.1264412521669,-0.7815811976026115,0.1560227069955201,-1.339902624001835,-1.5881600378309648,0.9586543081081,15.766135400420351,23.07425974025974,23.007612987012987,16.30482056507453,25.230943864831477,26.82819770964177,3.3178645717030557
HK.02318,0.6118185792499551,-0.8989813503337241,-0.3777590678753191,0.6164540294348815,-1.6048781102870455,-2.070005957919204,0.9276474703653992,5.052257749394408,11.64783612987013,10.410030077922078,4.987009077964226,12.713431738447278,13.47112698588814,2.2653258445239404
HK.01398,-1.1035131893879715,-5.918546795560907,-2.617122269546015,-0.9230498714157628,-1.654301464526934,-1.5443841170995158,0.8929798249998395,0.2899086725963161,0.5330562337662338,0.3879320571428571,0.3006101536201389,0.3485343643143044,0.3255013358801931,0.066185589286464
HK.00941,0.3994960596000136,-0.4018434310131882,0.1903807799210234,0.4200226021328972,0.4234232124159623,0.092260510472111,0.9723862014429906,3.729224805620389,5.331828571428571,4.084425974025974,3.562452667159253,3.4610694547498326,4.235512566426533,0.7380186059740196
HK.03968,0.5526726074701989,-0.4245846806055646,-0.2005209791199924,0.6194759781853267,-2.6107300274388647,-0.7937523293066293,0.9540097296184956,2.379095302480143,4.6390570129870135,4.28356574025974,2.24328247951841,6.984813971782115,4.749972324808264,0.7569333944857671
HK.00669,0.4944305428347326,-0.5434498889774122,-0.5012957435470928,0.5051484113014144,-2.5381304979722934,-5.652017950516584,0.9257621482449102,4.484770587045136,7.630636363636364,7.51682922077922,4.450388398571191,10.965943770181893,13.994910742652388,1.5907369767792552
