stock_code,historical_price,linear_regression: future_price,support_vector_machine_linear: future_price,lstm: future_price,mean_future_price
HK.00700,443.37008,477.9600509462192,499.0189005651917,439.076382291667,472.018444601026
HK.00005,46.9,46.83638406013059,46.8614480545007,47.03328175647259,46.91037129036797
HK.01299,78.6,86.03282084875013,87.21940745678283,82.03437985997199,85.09553605516832
HK.00939,5.4,5.347860701005736,5.207756595447643,5.383545516239405,5.313054270897594
HK.00388,455.4,439.8271567662735,465.7108533053225,437.4259932637215,447.6546677784392
HK.02318,56.15,58.89175725729551,58.77921551732511,56.69226200537682,58.121078259999145
HK.01398,4.4,4.371861034134531,4.286229899164844,4.420817935259342,4.359636289519572
HK.00941,46.8,50.83346940730082,50.303088787833175,47.07448529362678,49.40368116292026
HK.03968,60.55,65.71432526743781,64.8431082960494,60.41108370946103,63.65617242431608
HK.00669,155.2,171.56098354736548,173.31038413524772,149.33459807887672,164.73532192049663
HK.01211,266.6,272.8199087735593,286.65714117460533,224.6145125603354,261.36385416950003
HK.03988,2.81,2.81463653909185,2.7605974942890428,2.834152823529243,2.8031289523033784
HK.02331,85.35,98.77398850085731,101.0344896217364,78.34970855944991,92.7193955606812
HK.02382,246.6,231.4841781789932,245.1536954278573,234.5586584855318,237.06551069746078
HK.00002,78.75,75.88317543828069,75.4231413699449,78.52011060655117,76.6088091382589
HK.00823,68.65,70.82297046968492,70.86511242251792,69.06122423602342,70.24976904274207
HK.00883,8.03,8.400805909261422,7.997948450085097,8.144959967136383,8.181238108827634
HK.00003,12.14,11.731080244663133,11.773708126075936,12.31757628721994,11.940788219319671
HK.02313,149.9,166.25821409928437,168.0211680854117,148.93870277762414,161.07269498744006
HK.02020,116.6,139.7519311236361,142.4064434566255,116.56970308780672,132.90935922268943
HK.00175,21.3,26.980673668738653,27.04214946930445,21.411680005073546,25.144834381038887
HK.00016,94.6,101.75389680800144,100.14793536118096,95.496321195364,99.13271778818212
HK.02319,44.2,46.139228832191385,46.130160028478855,44.90580058226705,45.725063147645756
HK.02688,146.8,141.21903818967235,143.76389549658364,144.71505575394033,143.2326631467321
HK.00011,142.7,145.02518918280077,143.30920516541016,143.50229773521423,143.9455640278084
HK.01109,32.8,34.98551436068205,35.07615712501327,33.621883645873545,34.561185043856284
HK.00291,63.85,65.65612668340623,66.67392047823887,61.52808042687178,64.61937586283896
HK.02628,12.92,15.09367938643297,14.881771054499849,13.061556425752196,14.34566895556167
HK.02388,25.55,24.60499670431656,24.689783791521997,25.894790875196456,25.06319045701167
HK.00027,40.4,47.8595012712674,48.2704567470653,40.000222326517104,45.376726781616604
HK.00386,3.63,4.148054325814676,3.6774053360215953,3.716862640031577,3.847440767289283
HK.00066,41.85,42.93787606884011,42.38456380911354,42.270794413685806,42.531078097213154
HK.01093,8.47,8.347736493076646,8.387610536611819,8.232927645525653,8.322758225071372
HK.00857,3.47,3.595939305687619,3.5811526657883017,3.532024939600378,3.5697056370254328
HK.00688,18.46,19.72730919761027,18.84200343910188,18.3557856798172,18.97503277217645
HK.00006,48.6,47.49241928094904,47.047999203871896,49.311797677278506,47.950738720699825
HK.00960,36.7,41.15202429166962,41.05907759522775,36.91336799082755,39.70815662590831
HK.01177,5.46,5.878410988326127,5.857685713494085,5.600615510965347,5.77890407092852
HK.00267,7.7,7.996064995955423,7.764065521474734,7.852705004930497,7.8709451741202185
