stock_code,historical_price,linear_regression: future_price,support_vector_machine_linear: future_price,lstm: future_price,mean_future_price
HK.00700,375.81632,335.4109091196087,341.3820426271982,380.3264028776033,352.37311820813676
HK.00005,58.14282,57.82530364400516,57.37314273319446,58.51425323056698,57.90423320258886
HK.01299,82.934,78.11576384734168,79.18894747652261,81.19677471288443,79.5004953455829
HK.00939,5.92942,5.911870982182597,5.676526316614772,5.943599577723742,5.84399895884037
HK.00388,258.95,227.46748433278077,230.7761352319653,256.3651317238807,238.20291709620892
HK.02318,88.45385,88.65463041899677,87.65441776308786,91.27745116130112,89.19549978112859
HK.01398,5.33266,5.316936394607229,5.095006348235005,5.342437297792435,5.2514600135448894
HK.00941,58.207,57.00976486120017,56.12930779917326,57.86959628760815,57.00288964932719
HK.03968,37.68285,38.12098929744395,36.19461542602793,38.29705031008828,37.537551677853386
HK.00669,60.77,59.97787760003549,59.7262003888934,60.82291956230997,60.17566585041296
HK.01211,38.55439,39.144880709980896,38.312869240398896,38.57856057464093,38.67877017500691
HK.03988,2.82304,2.8716967993690807,2.7725019306560106,2.830298404849171,2.8248323782914206
HK.02331,26.08562,23.19556855136686,24.32183697541682,23.657759551429745,23.725055026071143
HK.02382,139.133,135.27904031064486,138.1583192406411,133.9242392830849,135.78719961145694
HK.00002,76.22,74.66580478846282,74.64082645269288,78.12976452291012,75.81213192135527
HK.00823,75.447,75.12801410687105,75.54057416962974,75.32912961710691,75.33257263120255
HK.00883,12.48,10.46564921947542,10.292259537659902,12.406266034841538,11.054724930658955
HK.00003,13.215456,12.89729549748714,12.922350347565535,12.889460223034307,12.903035356028994
HK.02313,108.94,110.90498209330168,109.23079603888928,108.68188355445862,109.6058872288832
HK.02020,75.56,77.1127284922162,78.80384664648786,70.9766284584999,75.63106786573465
HK.00175,15.63,15.32266414505893,15.335684754840338,15.506340779304503,15.388229893067923
HK.00016,108.3,105.16800107688069,103.26618535947202,106.49266420602798,104.97561688079357
HK.02319,32.077,30.231112030293843,30.4065188431382,31.652425464679595,30.76335211270388
HK.02688,84.57,80.94763331812837,80.6451543220093,82.84272449874283,81.4785040462935
HK.00011,150.2,152.56570836009348,151.29535451144577,150.25977272987365,151.37361186713764
HK.01109,35.736,30.8396875488198,30.842883742728567,33.979369568604945,31.887313620051106
HK.00291,42.133,45.41328094486332,44.90364910362011,42.433306473344565,44.250078840609326
HK.02628,20.93213,19.34473517937736,19.05060592781389,20.86201680964768,19.75245263894631
HK.02388,24.869,25.31063536416944,24.988062694053976,24.576619779348373,24.958439279190596
HK.00027,59.75,54.259648626382464,54.07224526927289,58.71795783758164,55.683283911079
HK.00386,4.13433,4.152586138562352,3.872334413593809,4.189620964736939,4.071513838964367
HK.00066,43.59,42.87441061357559,42.97171836657265,43.49509300291538,43.11374066102121
HK.01093,9.1466128,11.030086861949172,10.702620201286026,9.338695734263338,10.357134265832846
HK.00857,3.66707,3.5025064124593697,3.4756947878662947,3.626031734222174,3.534744311515946
HK.00688,27.75,23.818095911128214,23.329660330719705,27.37098053693771,24.839578926261876
HK.00006,52.13,49.8999706176858,48.54477810421994,51.9846475791931,50.14313210036628
HK.00960,34.6331,32.05323126220178,29.819649682398907,32.2142904817462,31.36239047544896
HK.01177,7.173373,8.868594280266354,7.549387597090639,7.293823513803482,7.903935130386825
HK.00267,9.097,9.215769373054902,9.29056933043885,8.989366828918458,9.165235177470736
