stock_code,linear_regression: score,linear_regression: mean_absolute_error,linear_regression: last_day_value,linear_regression: future_price,decision_tree: score,decision_tree: mean_absolute_error,decision_tree: last_day_value,decision_tree: future_price,random_forest: score,random_forest: mean_absolute_error,random_forest: last_day_value,random_forest: future_price,support_vector_machine_linear: score,support_vector_machine_linear: mean_absolute_error,support_vector_machine_linear: last_day_value,support_vector_machine_linear: future_price,support_vector_machine_poly: score,support_vector_machine_poly: mean_absolute_error,support_vector_machine_poly: last_day_value,support_vector_machine_poly: future_price,support_vector_machine_rbf: score,support_vector_machine_rbf: mean_absolute_error,support_vector_machine_rbf: last_day_value,support_vector_machine_rbf: future_price,lstm: score,lstm: mean_absolute_error,lstm: last_day_value,lstm: future_price
HK.00700,-0.6030242354545909,29.69119831368375,375.81632,335.4109091196087,-2.3563572223378006,41.91318431168831,375.81632,371.66216,-2.1004936525965094,40.40726942077922,375.81632,359.976136,-1.0285021921005937,32.73676009365732,375.81632,341.3820426271982,-3.4766566000243824,47.566822176339755,375.81632,344.89115378666935,-2.5581089559989976,42.92935255135592,375.81632,374.6718476712353,0.809887360265424,10.573312836428043,375.81632,380.3264028776033
HK.00005,0.04117756429683361,2.31334727878167,58.14282,57.82530364400516,-2.136938562299722,4.5418464155844145,58.14282,59.7896,-0.3806156569315562,2.9773399948051944,58.14282,59.96725300000001,0.12837180435861373,2.230717819639913,58.14282,57.37314273319446,-0.1208486828729145,2.612904844187693,58.14282,56.75761002466179,-0.7394285524256978,3.334930581504732,58.14282,57.866106168530315,0.9230228874051986,0.7349922854752396,58.14282,58.51425323056698
HK.01299,0.4843639620634722,4.377216774610575,82.934,78.11576384734168,-0.23334958868496458,7.104607792207793,82.934,69.516,-0.15638188746204862,6.779722337662338,82.934,65.19848,0.45304091221034926,4.531574804482847,82.934,79.18894747652261,-2.464538802430051,11.287374458360604,82.934,95.17332500440266,-10.852217207477239,20.584250271539865,82.934,40.339142501952686,0.9569831411546127,1.200757884964856,82.934,81.19677471288443
HK.00939,-1.3962526578310812,0.35283385115307636,5.92942,5.911870982182597,-8.081708869232171,0.7299137142857144,5.92942,6.28528,-6.549584908236134,0.7033916207792209,5.92942,6.531280000000001,-0.9582789126631663,0.3400064217999584,5.92942,5.676526316614772,-2.427099024747833,0.43471947672516137,5.92942,5.762242650507707,-1.9189422400817229,0.4064474109044616,5.92942,5.998352657845133,0.8862397925985317,0.0828768772567659,5.92942,5.943599577723742
HK.00388,0.20482371221952056,15.766135400420353,258.95,227.46748433278074,-1.1264412521669,23.07425974025974,258.95,229.12,-0.7815811976026115,23.007612987012987,258.95,234.59,0.15602270699552012,16.30482056507453,258.95,230.7761352319653,-1.339902624001835,25.230943864831474,258.95,253.8831929315506,-1.5881600378309648,26.828197709641774,258.95,219.44500291678574,0.9586543081081,3.3178645717030553,258.95,256.3651317238807
HK.02318,0.6118185792499551,5.052257749394408,88.45385,88.65463041899677,-0.8989813503337241,11.64783612987013,88.45385,67.4475,-0.3777590678753191,10.410030077922078,88.45385,71.2375,0.6164540294348815,4.987009077964226,88.45385,87.65441776308786,-1.6048781102870455,12.713431738447278,88.45385,107.68733866648984,-2.0700059579192036,13.47112698588814,88.45385,86.95586598789686,0.9276474703653992,2.2653258445239404,88.45385,91.27745116130113
HK.01398,-1.1035131893879715,0.28990867259631614,5.33266,5.316936394607229,-5.918546795560907,0.5330562337662338,5.33266,4.96797,-2.617122269546015,0.38793205714285717,5.33266,4.976970000000001,-0.9230498714157629,0.3006101536201389,5.33266,5.095006348235005,-1.654301464526934,0.34853436431430446,5.33266,5.1846087561004435,-1.5443841170995158,0.3255013358801931,5.33266,5.357212004050893,0.8929798249998395,0.06618558928646401,5.33266,5.342437297792435
HK.00941,0.39949605960001366,3.7292248056203894,58.207,57.00976486120017,-0.4018434310131882,5.331828571428571,58.207,55.546,0.19038077992102342,4.084425974025974,58.207,56.2347,0.4200226021328972,3.562452667159253,58.207,56.12930779917326,0.42342321241596237,3.4610694547498326,58.207,56.05110512888598,0.09226051047211103,4.235512566426533,58.207,51.7341303564749,0.9723862014429906,0.7380186059740196,58.207,57.86959628760815
HK.03968,0.5526726074701989,2.379095302480143,37.68285,38.12098929744395,-0.42458468060556465,4.6390570129870135,37.68285,28.89933,-0.20052097911999245,4.28356574025974,37.68285,29.229329999999997,0.6194759781853267,2.24328247951841,37.68285,36.19461542602793,-2.6107300274388647,6.984813971782115,37.68285,48.037902131287005,-0.7937523293066293,4.7499723248082635,37.68285,30.116039327291404,0.9540097296184955,0.7569333944857671,37.68285,38.29705031008828
HK.00669,0.49443054283473264,4.484770587045136,60.77,59.977877600035484,-0.5434498889774122,7.630636363636364,60.77,42.7925,-0.5012957435470928,7.51682922077922,60.77,41.6525,0.5051484113014144,4.450388398571191,60.77,59.7262003888934,-2.5381304979722934,10.965943770181893,60.77,85.56456168574968,-5.6520179505165835,13.994910742652388,60.77,21.286250066873826,0.9257621482449102,1.5907369767792552,60.77,60.82291956230997
