stock_code,historical_price,linear_regression: future_price,support_vector_machine_linear: future_price,lstm: future_price,mean_future_price
HK.00700,443.37008,507.03725538904087,484.2189071630019,438.773098157919,476.67642023665394
HK.00005,46.9,42.32750283503387,42.290744385149466,46.33257570201874,43.650274307400686
HK.01299,78.6,86.36822292639197,85.77023991544135,79.59692991164326,83.91179758449219
HK.00939,5.4,5.433036885844608,5.446029446786833,5.360152916822433,5.413073083151292
HK.00388,455.4,485.3637988629688,503.8461279488442,460.6050724178553,483.2716664098894
HK.02318,56.15,67.20481673172016,67.30665239213621,60.08703876275063,64.86616929553567
HK.01398,4.4,4.258685582832791,4.416858562177891,4.296581367548406,4.3240418375196965
HK.00941,46.8,47.02034077373073,47.487639047093175,47.34755056074262,47.285176793855506
HK.03968,60.55,65.27399870901064,64.34661300493396,61.41999921347677,63.68020364247379
HK.00669,155.2,176.8407100883681,169.70069439366944,157.94193495035174,168.16111314412976
HK.01211,266.6,322.8147664647579,339.2237250692845,259.4581161681193,307.16553590072056
HK.03988,2.81,2.7141406167872,2.6834223354206084,2.739167160396576,2.712243370868128
HK.02331,85.35,112.20370420345532,109.28879789798904,83.8797987901032,101.79076696384918
HK.02382,246.6,222.375470921742,225.73378823090584,241.6534748119712,229.92091132153965
HK.00002,78.75,74.04937722990452,73.85818884399748,78.43433898031712,75.44730168473971
HK.00823,68.65,70.10373681213218,69.21623105860218,68.35694004011154,69.22563597028197
HK.00883,8.03,7.714125818658368,7.764482847688505,7.89024467766285,7.789617781336574
HK.00003,12.14,11.465413620479293,11.47834786118106,12.18703568652277,11.710265722727707
HK.02313,149.9,166.37316850607792,168.95149469934782,154.73412206411362,163.3529284231798
HK.02020,116.6,146.9368489483038,151.05094168955603,120.47008864045144,139.48595975943707
HK.00175,21.3,25.658039773448834,25.06640103259219,20.67733244687319,23.800591084304738
HK.00016,94.6,102.3151579822492,101.2901193568242,94.13532510399816,99.24686748102386
HK.02319,44.2,47.018860083378,45.37565947771654,44.27847921693325,45.5576662593426
HK.02688,146.8,149.05085398407869,157.25775519833013,150.08908653616905,152.13256523952597
HK.00011,142.7,142.9539767682282,140.2960072468953,145.54118101596833,142.93038834369727
HK.01109,32.8,32.09722784746142,33.415174300364164,32.883887633800505,32.798763260542025
HK.00291,63.85,65.43874475348969,64.91725685380023,64.17747372484207,64.84449177737731
HK.02628,12.92,14.658860517206367,14.319028056202066,13.123028268520832,14.033638947309756
HK.02388,25.55,24.196021449817245,23.78209409132424,25.56759614914656,24.515237230096016
HK.00027,40.4,57.17142896266987,53.24154130859216,42.93167849704624,51.114882922769425
HK.00386,3.63,3.5759654461168604,3.452077196048251,3.64971646643877,3.559253036201294
HK.00066,41.85,43.34168332759173,42.07851395462319,41.892341895103456,42.43751305910613
HK.01093,8.47,8.598575989703711,8.497269598166774,8.227292179504062,8.441045922458182
HK.00857,3.47,3.001706846588883,2.9544067013517674,3.4780114659065005,3.14470833794905
HK.00688,18.46,18.29246477584785,18.31457154014261,18.364488067626954,18.323841461205802
HK.00006,48.6,45.96893081427193,45.66014302204366,49.10317719459534,46.91075034363698
HK.00960,36.7,41.30936074337343,39.63939270659231,38.28817224303186,39.74564189766587
HK.01177,5.46,6.872513409600261,6.730508912142048,5.809576864540577,6.470866395427628
HK.00267,7.7,6.8054685999673525,7.015932463843773,7.689149995684624,7.170183686498583
