code,date,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.02318,2012-01-26,17.24793,17.82293,17.99793,17.09793,23.795,0.00425,26602692,806102272.0,5.944267734574179,16.82293
HK.02318,2012-01-27,17.44793,18.04793,18.37293,17.44793,23.97,0.00467,29237422,900992704.0,1.2624186932227273,17.82293
HK.02318,2012-01-30,18.24793,17.22293,18.24793,17.14793,23.328,0.00598,37423784,1139199104.0,-4.571161346481282,18.04793
HK.02318,2012-01-31,17.84793,17.94793,18.14793,17.04793,23.892,0.00495,30962400,942496640.0,4.209504422302116,17.22293
HK.02318,2012-02-01,17.99793,17.72293,18.24793,17.39793,23.717,0.00345,21617650,661076352.0,-1.2536264627731326,17.94793
HK.02318,2012-02-02,18.24793,19.34793,19.67293,18.07293,24.982,0.00707,44285092,1401937024.0,9.16891281520606,17.72293
HK.02318,2012-02-03,19.44793,19.82293,19.97293,19.07293,25.351,0.00415,25974720,839630144.0,2.455042994263457,19.34793
HK.02318,2012-02-06,20.24793,19.12293,20.29793,18.77293,24.806,0.00396,24788982,795637248.0,-3.531264046233323,19.82293
HK.02318,2012-02-07,19.12293,18.59793,19.44793,18.42293,24.398,0.00356,22273436,701618240.0,-2.745395187871307,19.12293
HK.02318,2012-02-08,18.82293,19.24793,19.67293,18.62293,24.904,0.00435,27238666,868318720.0,3.49501261699554,18.59793
HK.02318,2012-02-09,18.74793,19.74793,20.14793,18.74793,25.332,0.00594,37166656,1203056640.0,2.597681932550669,19.24793
HK.02318,2012-02-10,19.24793,19.14793,19.59793,18.79793,24.826,0.00384,24015546,769434240.0,-3.0382931274315914,19.74793
HK.02318,2012-02-13,19.02293,19.84793,20.14793,18.94793,25.371,0.00326,20426246,664077568.0,3.6557476447845945,19.14793
HK.02318,2012-02-14,19.84793,19.94793,20.47293,19.69793,25.449,0.00419,26201894,860691456.0,0.5038308780814819,19.84793
HK.02318,2012-02-15,19.94793,20.47293,20.52293,19.79793,25.857,0.00599,37500352,1239231744.0,2.6318520267516585,19.94793
HK.02318,2012-02-16,20.24793,19.74793,20.32293,19.37293,25.293,0.00326,20380756,664664128.0,-3.5412615585556217,20.47293
HK.02318,2012-02-17,20.02293,20.27293,20.44793,19.99793,25.701,0.00404,25300228,833355904.0,2.658506486502629,19.74793
HK.02318,2012-02-20,21.14793,20.62293,21.32293,20.49793,25.974,0.00582,36441276,1225023104.0,1.726440134701799,20.27293
HK.02318,2012-02-21,21.09793,20.82293,21.09793,20.24793,26.13,0.00362,22683388,759471616.0,0.9697943017796176,20.62293
HK.02318,2012-02-22,20.07293,21.42293,21.49793,20.07293,26.596,0.00361,22626416,764268416.0,2.881438875316785,20.82293
HK.02318,2012-02-23,20.67293,20.97293,21.54793,20.67293,26.246,0.0017,10655908,360508736.0,-2.1005530055879342,21.42293
HK.02318,2012-02-24,20.79793,20.84793,21.04793,20.32293,26.149,0.00326,20380214,681941568.0,-0.5960063758378061,20.97293
HK.02318,2012-02-27,20.87293,20.24793,21.49793,20.02293,25.682,0.00351,21981412,736946112.0,-2.877983569591808,20.84793
HK.02318,2012-02-28,19.89793,20.67293,20.89793,19.89793,26.013,0.00358,22398924,744021056.0,2.0989799944982064,20.24793
HK.02318,2012-02-29,21.09793,21.17293,21.27293,20.44793,26.402,0.00336,21045912,707504896.0,2.418621840251962,20.67293
HK.02318,2012-03-01,20.82293,20.12293,21.04793,19.92293,25.585,0.0028,17545728,581807040.0,-4.959162477748713,21.17293
HK.02318,2012-03-02,20.39793,20.34793,20.69793,20.24793,25.76,0.00324,20292442,672541760.0,1.11812742975303,20.12293
HK.02318,2012-03-05,20.42293,19.34793,20.57293,19.09793,24.982,0.00382,23884472,771769408.0,-4.914504816951896,20.34793
HK.02318,2012-03-06,18.84793,18.14793,19.29793,18.04793,24.048,0.00523,32717632,1019155648.0,-6.202213880244567,19.34793
HK.02318,2012-03-07,17.72293,16.89793,18.04793,16.87293,23.075,0.00877,54871572,1653148544.0,-6.887837896663697,18.14793
HK.02318,2012-03-08,17.24793,18.42293,18.47293,17.24793,24.262,0.00635,39776928,1222331776.0,9.024774040370636,16.89793
HK.02318,2012-03-09,18.54793,18.59793,18.99793,18.49793,24.398,0.0029,18142766,570985600.0,0.9499031912947652,18.42293
HK.02318,2012-03-12,18.59793,18.89793,19.07293,18.24793,24.631,0.00269,16837976,529292224.0,1.613082746305622,18.59793
HK.02318,2012-03-13,19.04793,19.19793,19.47293,18.89793,24.865,0.00213,13347224,426832832.0,1.5874754536608016,18.89793
HK.02318,2012-03-14,19.74793,18.64793,19.74793,18.44793,24.437,0.00439,27462966,880387712.0,-2.8648922045241374,19.19793
HK.02318,2012-03-15,18.62293,18.92293,18.97293,18.19793,20.876,0.00364,22758468,714134144.0,1.47469451032904,18.64793
HK.02318,2012-03-16,18.37293,18.34793,18.57293,18.02293,20.497,0.0045,28152616,873289536.0,-3.038641478883023,18.92293
HK.02318,2012-03-19,18.34793,17.64793,18.34793,17.59793,20.035,0.00252,15747564,484074752.0,-3.815144269680573,18.34793
HK.02318,2012-03-20,17.69793,17.44793,18.14793,17.17293,19.904,0.00322,20135954,610481152.0,-1.1332773872063142,17.64793
HK.02318,2012-03-21,17.49793,17.29793,17.82293,17.04793,19.805,0.0031,19395840,583749952.0,-0.8597008355718907,17.44793
HK.02318,2012-03-22,17.14793,17.09793,17.49793,16.92293,19.673,0.00299,18692756,558689408.0,-1.1562077080899231,17.29793
HK.02318,2012-03-23,16.74793,17.04793,17.19793,16.64793,19.64,0.00192,12002126,356262336.0,-0.2924330606102651,17.09793
HK.02318,2012-03-26,17.24793,17.12293,17.32293,16.72293,19.689,0.00126,7880766,234324608.0,0.4399361095452602,17.04793
HK.02318,2012-03-27,17.89793,17.52293,17.89793,17.47293,19.953,0.00358,22396050,681152192.0,2.3360487953872298,17.12293
HK.02318,2012-03-28,17.39793,17.32293,17.64793,17.04793,19.821,0.00228,14277222,430089536.0,-1.141361633014566,17.52293
HK.02318,2012-03-29,16.64793,16.44793,16.84793,16.29793,19.245,0.00446,27946452,818451008.0,-5.051108559579702,17.32293
HK.02318,2012-03-30,16.19793,16.59793,16.84793,16.09793,19.343,0.00259,16188642,475495200.0,0.911968861735198,16.44793
HK.02318,2012-04-02,16.47293,16.69793,16.94793,16.47293,19.409,0.0014,8780048,258532928.0,0.6024847676788483,16.59793
HK.02318,2012-04-03,16.89793,17.12293,17.44793,16.54793,19.689,0.00203,12727580,378387744.0,2.545225665696292,16.69793
HK.02318,2012-04-05,16.34793,17.34793,17.82293,16.29793,19.838,0.00385,24088482,724801536.0,1.3140274474053295,17.12293
HK.02318,2012-04-10,16.84793,16.82293,17.19793,16.54793,19.492,0.00217,13583732,401761600.0,-3.026297662026548,17.34793
HK.02318,2012-04-11,16.19793,16.59793,16.62293,15.94793,19.343,0.0026,16255708,473972768.0,-1.3374602402791778,16.82293
HK.02318,2012-04-12,16.47293,16.99793,17.57293,16.34793,19.607,0.00364,22775510,678426752.0,2.409939070715436,16.59793
HK.02318,2012-04-13,18.24793,18.27293,18.79793,17.82293,20.447,0.0074,46344656,1440901504.0,7.500913346507477,16.99793
HK.02318,2012-04-16,18.09793,18.17293,18.49793,17.79793,20.381,0.00197,12343178,381526944.0,-0.5472576100274991,18.27293
HK.02318,2012-04-17,18.39793,17.99793,18.39793,17.64793,20.266,0.00288,18033568,553134912.0,-0.962970748250286,18.17293
HK.02318,2012-04-18,18.49793,18.39793,18.59793,18.12293,20.53,0.00237,14862296,462500352.0,2.222477807170039,17.99793
HK.02318,2012-04-19,18.34793,19.32293,19.49793,18.22293,21.139,0.00493,30871736,984067200.0,5.027739533741029,18.39793
HK.02318,2012-04-20,19.14793,19.24793,19.44793,18.99793,21.09,0.00279,17468288,560301888.0,-0.3881398938980749,19.32293
HK.02318,2012-04-23,18.99793,18.19793,19.19793,18.17293,20.398,0.00232,14542416,455511008.0,-5.4551320583564085,19.24793
HK.02318,2012-04-24,17.97293,18.39793,18.82293,17.97293,20.53,0.00297,18591938,577864000.0,1.0990260980232327,18.19793
HK.02318,2012-04-25,18.42293,18.34793,18.57293,17.94793,20.497,0.0016,10032294,311463168.0,-0.2717697045265264,18.39793
HK.02318,2012-04-26,18.67293,19.12293,19.34793,18.64793,21.008,0.00412,25814456,818577408.0,4.223909727146324,18.34793
HK.02318,2012-04-27,19.74793,19.14793,19.74793,18.74793,21.024,0.00296,18544764,593228608.0,0.1307331041843409,19.12293
HK.02318,2012-04-30,19.17293,19.69793,19.82293,19.17293,21.387,0.00362,22647028,734281664.0,2.872373149473602,19.14793
HK.02318,2012-05-02,20.02293,20.39793,20.57293,20.02293,21.848,0.00427,26730600,885191936.0,3.5536728986243693,19.69793
