code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.01044,2012-01-26 00:00:00,48.69544,47.14544,49.19544,46.74544,35.005,0.00261,3213456,223897664.0,-1.5659110762945283,47.89544
HK.01044,2012-01-27 00:00:00,46.69544,45.99544,47.54544,45.29544,34.426,0.00296,3643800,248917968.0,-2.4392602974964253,47.14544
HK.01044,2012-01-30 00:00:00,46.04544,46.44544,47.44544,45.64544,34.653,0.00192,2357301,162426368.0,0.978357854604708,45.99544
HK.01044,2012-01-31 00:00:00,46.59544,47.04544,47.24544,46.19544,34.955,0.00355,4361000,300870688.0,1.2918383376279814,46.44544
HK.01044,2012-02-01 00:00:00,48.19544,47.14544,48.49544,46.94544,35.005,0.00177,2179805,152481936.0,0.21256045219260658,47.04544
HK.01044,2012-02-02 00:00:00,48.09544,47.84544,48.69544,47.19544,35.358,0.00268,3289410,232035328.0,1.4847671376065275,47.14544
HK.01044,2012-02-03 00:00:00,48.64544,48.29544,48.64544,47.74544,35.585,0.00169,2082096,146885216.0,0.9405285017757089,47.84544
HK.01044,2012-02-06 00:00:00,47.74544,46.04544,48.34544,45.54544,34.451,0.00416,5116315,354153088.0,-4.658824932540215,48.29544
HK.01044,2012-02-07 00:00:00,45.99544,45.79544,46.39544,44.49544,34.325,0.00285,3508734,238296592.0,-0.5429419286687238,46.04544
HK.01044,2012-02-08 00:00:00,46.44544,47.24544,47.99544,46.19544,35.056,0.00182,2239815,156047888.0,3.1662541073958517,45.79544
HK.01044,2012-02-09 00:00:00,47.59544,47.64544,48.19544,47.04544,35.207,0.00183,2246800,156944752.0,0.8466425542867176,47.24544
HK.01044,2012-02-10 00:00:00,48.29544,47.89544,48.69544,47.74544,35.383,0.00188,2316330,163634096.0,0.5247091851812051,47.64544
HK.01044,2012-02-13 00:00:00,48.89544,48.19544,49.19544,47.64544,35.535,0.00118,1447500,102044000.0,0.6263644305178053,47.89544
HK.01044,2012-02-14 00:00:00,48.24544,48.34544,48.39544,47.14544,35.61,0.00086,1062802,74771712.0,0.3112327639295454,48.19544
HK.01044,2012-02-15 00:00:00,48.39544,47.94544,48.69544,47.49544,35.409,0.00156,1914474,134484960.0,-0.8273789627315536,48.34544
HK.01044,2012-02-16 00:00:00,46.84544,48.39544,48.79544,46.79544,35.635,0.00186,2282703,159919136.0,0.9385668376387888,47.94544
HK.01044,2012-02-17 00:00:00,48.79544,48.49544,48.99544,48.24544,35.686,0.00204,2503225,177081344.0,0.20663103796556334,48.39544
HK.01044,2012-02-20 00:00:00,48.69544,47.94544,49.09544,47.59544,35.409,0.00087,1071620,75421016.0,-1.1341272499022674,48.49544
HK.01044,2012-02-21 00:00:00,47.74544,48.14544,48.49544,47.74544,35.509,0.00087,1068900,75222192.0,0.41714081672835385,47.94544
HK.01044,2012-02-22 00:00:00,48.79544,48.34544,48.79544,47.29544,35.61,0.00212,2604820,183387008.0,0.41540798048580063,48.14544
HK.01044,2012-02-23 00:00:00,47.24544,47.64544,48.09544,47.24544,35.257,0.00153,1882099,131738656.0,-1.4479131847802043,48.34544
HK.01044,2012-02-24 00:00:00,47.69544,46.29544,48.04544,45.89544,34.577,0.00284,3491461,240456032.0,-2.8334295999785106,47.64544
HK.01044,2012-02-27 00:00:00,46.19544,46.04544,47.19544,45.89544,34.451,0.00264,3240310,222619344.0,-0.5400099880247384,46.29544
HK.01044,2012-02-28 00:00:00,46.29544,47.39544,47.69544,46.04544,35.131,0.002,2462639,170848880.0,2.9318864148111112,46.04544
HK.01044,2012-02-29 00:00:00,47.49544,48.14544,48.19544,46.59544,35.509,0.00305,3746617,261681520.0,1.5824307148535808,47.39544
