code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.01997,2017-11-23 00:00:00,47.28,42.78,47.28,42.28,0.0,0.0142,43100050,2203776791.0,-9.517766497461928,47.28
HK.01997,2017-11-24 00:00:00,42.68,42.28,43.23,41.33,0.0,0.00334,10149953,503689308.0,-1.168770453482936,42.78
HK.01997,2017-11-27 00:00:00,41.38,41.53,42.28,40.83,0.0,0.00265,8031087,389418200.0,-1.7738883632923368,42.28
HK.01997,2017-11-28 00:00:00,41.38,40.43,41.73,40.28,0.0,0.0023,6981253,336512675.0,-2.648687695641708,41.53
HK.01997,2017-11-29 00:00:00,40.73,40.43,40.83,40.33,0.0,0.00265,8043770,383771338.0,0.0,40.43
HK.01997,2017-11-30 00:00:00,39.93,39.98,40.53,39.33,0.0,0.0045,13648344,645271217.0,-1.11303487509276,40.43
HK.01997,2017-12-01 00:00:00,39.98,41.48,41.48,39.88,0.0,0.00145,4411085,212273055.0,3.7518759379689848,39.98
HK.01997,2017-12-04 00:00:00,40.88,41.88,41.88,40.83,0.0,0.00076,2301983,112546845.0,0.9643201542912384,41.48
HK.01997,2017-12-05 00:00:00,40.93,42.28,42.28,40.93,0.0,0.00108,3275238,161029863.0,0.9551098376313242,41.88
HK.01997,2017-12-06 00:00:00,42.18,41.93,42.53,41.53,0.0,0.00119,3619285,177625511.0,-0.8278145695364272,42.28
HK.01997,2017-12-07 00:00:00,41.68,42.43,42.43,41.33,0.0,0.00194,5885614,289083410.0,1.1924636298592892,41.93
HK.01997,2017-12-08 00:00:00,42.28,42.28,42.38,41.63,0.0,0.00132,3996687,197021279.0,-0.35352345038887245,42.43
HK.01997,2017-12-11 00:00:00,41.83,42.88,42.88,41.63,0.0,0.00156,4726313,233577892.0,1.4191106906338729,42.28
HK.01997,2017-12-12 00:00:00,42.38,44.08,44.08,42.33,0.0,0.00166,5026992,254114164.0,2.7985074626865574,42.88
