code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.06098,2018-06-19 00:00:00,9.47047,9.47047,10.73047,8.27047,55.544,0.04062,101546316,1008403718.0,0.0,9.47047
HK.06098,2018-06-20 00:00:00,8.97047,8.49047,9.45047,8.47047,55.544,0.05076,126894173,1195414449.0,-10.347955275714938,9.47047
HK.06098,2018-06-21 00:00:00,8.29047,9.89047,10.09047,8.29047,55.544,0.04921,123015128,1226223774.0,16.489075398652847,8.49047
HK.06098,2018-06-22 00:00:00,9.67047,10.91047,11.13047,9.47047,55.544,0.05133,128322271,1406577362.0,10.312957827080002,9.89047
HK.06098,2018-06-25 00:00:00,11.11047,10.19047,11.51047,9.91047,55.544,0.03831,95768211,1078532591.0,-6.599165755462419,10.91047
HK.06098,2018-06-26 00:00:00,9.81047,10.21047,10.29047,9.47047,55.647,0.02982,74545005,782316650.0,0.19626180146746275,10.19047
HK.06098,2018-06-27 00:00:00,10.07047,8.97047,10.19047,8.89047,49.222,0.0251,62741797,627528314.0,-12.144396878890003,10.21047
HK.06098,2018-06-28 00:00:00,8.89047,8.52047,9.14047,8.47047,46.943,0.02614,65352300,603899003.0,-5.016459561204719,8.97047
HK.06098,2018-06-29 00:00:00,8.63047,9.53047,9.93047,8.57047,52.124,0.02781,69529723,692786072.0,11.853806186747912,8.52047
HK.06098,2018-07-03 00:00:00,9.07047,10.21047,10.27047,9.01047,55.544,0.02194,54860820,551998897.0,7.135010130665136,9.53047
HK.06098,2018-07-04 00:00:00,10.11047,9.53047,10.19047,9.47047,52.331,0.01207,30187085,307968084.0,-6.65983054648808,10.21047
HK.06098,2018-07-05 00:00:00,9.45047,9.46047,9.81047,9.38047,51.761,0.01292,32305515,324340228.0,-0.7344863369802173,9.53047
HK.06098,2018-07-06 00:00:00,9.59047,9.55047,10.15047,9.43047,52.227,0.01062,26548660,271992076.0,0.9513269425303379,9.46047
HK.06098,2018-07-09 00:00:00,9.87047,10.33047,10.43047,9.69047,56.269,0.01258,31440497,334059913.0,8.167137324131685,9.55047
HK.06098,2018-07-10 00:00:00,10.57047,10.39047,10.83047,10.17047,56.476,0.01013,25316748,280563941.0,0.5808061007872874,10.33047
HK.06098,2018-07-11 00:00:00,9.97047,10.41047,10.55047,9.85047,56.683,0.00712,17793684,192394912.0,0.19248407434889445,10.39047
