code,date,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.02331,2012-01-26,5.435638,5.9932832,6.1132828,5.435638,6.597,0.02345,35070345,195267776.0,11.124907690770726,5.3932852
HK.02331,2012-01-27,6.035636,6.0074008,6.035636,5.9368128,6.613,0.00594,8881387,50916336.0,0.2355570315782926,5.9932832
HK.02331,2012-01-30,5.9791656,5.8450484,5.9791656,5.753284,6.426,0.00622,9305396,52716392.0,-2.702539840524716,6.0074008
HK.02331,2012-01-31,5.8662248,5.89446,6.0991652,5.823872,6.483,0.00564,8438253,47935368.0,0.8453582694028676,5.8450484
HK.02331,2012-02-01,6.000342,6.07093,6.2474,5.89446,6.686,0.00948,14184926,82778904.0,2.993828102998411,5.89446
HK.02331,2012-02-02,6.2474,6.2756352,6.317988,6.2474,6.921,0.00845,12639151,76254080.0,3.371891950656658,6.07093
HK.02331,2012-02-03,6.3603408,5.9509304,6.4450464,5.9368128,6.548,0.01308,19567007,114237744.0,-5.174054731543352,6.2756352
HK.02331,2012-02-06,6.176812,6.2262236,6.317988,6.0426948,6.864,0.00605,9040801,53262432.0,4.626053095831875,5.9509304
HK.02331,2012-02-07,6.2897528,6.2544588,6.4026936,6.0921064,6.896,0.0133,19887210,118714128.0,0.4534883713459974,6.2262236
HK.02331,2012-02-08,6.317988,6.317988,6.4026936,6.282694,6.969,0.00926,13848289,84266288.0,1.0157425611309423,6.2544588
HK.02331,2012-02-09,6.706222,7.165044,7.376808,6.494458,7.942,0.0318,47554036,323660160.0,13.407053004849018,6.317988
HK.02331,2012-02-10,7.235632,6.9815152,7.270926,6.9250448,7.731,0.00846,12652279,85479944.0,-2.5614469359853254,7.165044
HK.02331,2012-02-13,6.988574,6.8897508,7.0732796,6.882692,7.626,0.00991,14827293,99536936.0,-1.3143908932548016,6.9815152
HK.02331,2012-02-14,6.882692,6.7697512,6.988574,6.6921044,7.49,0.0056,8380878,54707824.0,-1.7417117611859034,6.8897508
HK.02331,2012-02-15,6.847398,6.7556336,6.95328,6.7203396,7.473,0.0151,22592579,147865552.0,-0.2085394216555494,6.7697512
HK.02331,2012-02-16,6.7132808,6.60034,6.77681,6.5862224,7.295,0.00698,10438734,66865184.0,-2.298727391017776,6.7556336
HK.02331,2012-02-17,6.741516,6.6426928,6.741516,6.6073988,7.344,0.00447,6685265,42867888.0,0.6416760348709271,6.60034
HK.02331,2012-02-20,6.6779868,6.6426928,6.7697512,6.5509284,7.344,0.00463,6930420,44306456.0,0.0,6.6426928
HK.02331,2012-02-21,6.635634,6.8262216,6.9109272,6.5368108,7.554,0.0095,14214158,92332128.0,2.7628674925325525,6.6426928
HK.02331,2012-02-22,6.882692,6.8262216,6.882692,6.7203396,7.554,0.0039,5839604,38197432.0,0.0,6.8262216
HK.02331,2012-02-23,6.6921044,6.7626924,6.847398,6.670928,7.481,0.00297,4447635,28845528.0,-0.930664190567744,6.8262216
HK.02331,2012-02-24,6.8262216,6.7273984,6.8262216,6.706222,7.441,0.00152,2279373,14785314.0,-0.5218927301794696,6.7626924
HK.02331,2012-02-27,6.7273984,6.8968096,7.0097504,6.7273984,7.635,0.00349,5223972,34770848.0,2.518227551381525,6.7273984
HK.02331,2012-02-28,6.9462212,6.7979864,6.9462212,6.7344572,7.522,0.00142,2117921,13859625.0,-1.432882821645533,6.8968096
