code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.06862,2018-09-26 00:00:00,18.553,17.573,19.393,17.553,70.714,0.02312,122549055,2290437341.0,0.11394063692815798,17.553
HK.06862,2018-09-27 00:00:00,17.553,16.673,17.693,16.553,67.142,0.0052,27546000,476789394.0,-5.121493199795153,17.573
HK.06862,2018-09-28 00:00:00,16.673,17.553,17.593,15.733,70.634,0.00529,28013234,478805591.0,5.277994362142402,16.673
HK.06862,2018-10-02 00:00:00,17.533,17.173,17.533,16.573,69.206,0.00072,3827090,66441519.0,-2.1648721016350625,17.553
HK.06862,2018-10-03 00:00:00,17.173,17.513,17.613,17.073,70.476,0.00178,9414000,166311720.0,1.9798520934024542,17.173
HK.06862,2018-10-04 00:00:00,17.513,17.413,17.613,17.213,70.634,0.00169,8940100,158653876.0,-0.5710043967338629,17.513
HK.06862,2018-10-05 00:00:00,17.393,17.453,17.533,17.133,70.238,0.00082,4321350,76368062.0,0.2297134324929601,17.413
HK.06862,2018-10-08 00:00:00,17.453,17.173,17.473,16.753,69.126,0.0013,6892000,120518060.0,-1.6043087148341326,17.453
HK.06862,2018-10-09 00:00:00,17.253,17.073,17.253,17.053,68.73,0.00091,4830399,83892586.0,-0.5823094392359977,17.173
HK.06862,2018-10-10 00:00:00,17.073,17.393,17.593,17.073,70.0,0.00225,11927600,210568182.0,1.8743044573302892,17.073
HK.06862,2018-10-11 00:00:00,17.073,16.753,17.073,16.253,67.46,0.00138,7301400,122636964.0,-3.679641234979593,17.393
HK.06862,2018-10-12 00:00:00,16.913,17.533,17.613,16.913,70.555,0.00159,8453214,149379767.0,4.655882528502365,16.753
HK.06862,2018-10-15 00:00:00,17.553,17.413,17.633,17.073,69.841,0.00151,7979400,141547850.0,-0.6844236582444589,17.533
HK.06862,2018-10-16 00:00:00,17.533,17.393,17.573,17.153,70.0,0.0008,4250714,75371694.0,-0.11485671624648006,17.413
HK.06862,2018-10-18 00:00:00,17.393,16.413,17.393,16.173,66.111,0.00068,3598300,60626734.0,-5.634450641062498,17.393
HK.06862,2018-10-19 00:00:00,16.313,16.553,16.733,16.053,66.666,0.00042,2247300,37137999.0,0.85298239200634,16.413
HK.06862,2018-10-22 00:00:00,16.753,17.473,17.553,16.693,70.317,0.00061,3211000,55761680.0,5.557904911496394,16.553
HK.06862,2018-10-23 00:00:00,17.273,16.933,17.293,16.753,68.174,0.00027,1416000,24452340.0,-3.0904824586504844,17.473
HK.06862,2018-10-24 00:00:00,16.753,17.013,17.073,16.713,68.492,6e-05,292000,4982540.0,0.4724502450835755,16.933
HK.06862,2018-10-25 00:00:00,16.853,16.373,17.013,16.273,65.634,0.00024,1298404,21694590.0,-3.76182918944337,17.013
HK.06862,2018-10-26 00:00:00,16.393,16.013,16.593,15.933,64.682,0.00031,1634000,26745360.0,-2.1987418310633324,16.373
HK.06862,2018-10-29 00:00:00,16.093,15.633,16.113,15.253,63.015,0.00023,1218104,19196331.0,-2.373071879098249,16.013
HK.06862,2018-10-30 00:00:00,15.633,15.633,15.813,15.553,63.015,0.00014,765001,12185415.0,0.0,15.633
HK.06862,2018-10-31 00:00:00,15.653,16.233,16.293,15.653,65.476,0.00012,652452,10688268.0,3.838034926117837,15.633
HK.06862,2018-11-01 00:00:00,16.233,16.613,16.733,16.053,66.904,0.00012,619000,10400200.0,2.3409104909751677,16.233
HK.06862,2018-11-02 00:00:00,16.633,16.973,16.993,16.633,68.253,0.00046,2459000,41953720.0,2.1669776680912505,16.613
HK.06862,2018-11-05 00:00:00,16.573,16.693,16.753,16.253,67.222,8e-05,408549,6874878.0,-1.6496789017851743,16.973
HK.06862,2018-11-06 00:00:00,16.633,16.873,16.913,16.633,68.095,6e-05,302021,5147478.0,1.0782962918588612,16.693
