code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.03690,2018-09-20 00:00:00,72.9,72.65,74.0,72.0,0.0,0.0211,115846804,8438947990.0,5.2898550724637765,69.0
HK.03690,2018-09-21 00:00:00,74.0,72.1,74.0,71.95,0.0,0.00798,43838241,3176663016.0,-0.7570543702684258,72.65
HK.03690,2018-09-24 00:00:00,70.65,69.0,71.9,69.0,0.0,0.00573,31460064,2200166444.0,-4.299583911234389,72.1
HK.03690,2018-09-26 00:00:00,69.35,68.8,69.6,65.65,0.0,0.0125,68632397,4703103298.0,-0.28985507246377223,69.0
HK.03690,2018-09-27 00:00:00,68.8,67.0,69.75,65.65,0.0,0.00537,29514806,1969154540.0,-2.6162790697674376,68.8
HK.03690,2018-09-28 00:00:00,67.05,68.75,68.8,65.05,0.0,0.0049,26889022,1803101582.0,2.6119402985074625,67.0
HK.03690,2018-10-02 00:00:00,68.75,66.7,68.75,66.05,0.0,0.0012,6611904,443955890.0,-2.981818181818178,68.75
HK.03690,2018-10-03 00:00:00,66.5,65.05,66.5,65.0,0.0,0.00244,13389350,871853112.0,-2.4737631184407882,66.7
HK.03690,2018-10-04 00:00:00,65.05,65.05,65.8,64.95,0.0,0.0027,14815600,963873670.0,0.0,65.05
HK.03690,2018-10-05 00:00:00,64.85,67.9,68.0,63.8,0.0,0.00309,16945330,1111466215.0,4.381245196003087,65.05
HK.03690,2018-10-08 00:00:00,68.05,68.45,69.0,68.0,0.0,0.00234,12875421,880882700.0,0.8100147275404965,67.9
HK.03690,2018-10-09 00:00:00,68.0,68.95,69.3,68.0,0.0,0.00102,5585136,383280261.0,0.7304601899196493,68.45
HK.03690,2018-10-10 00:00:00,69.3,69.0,69.3,68.5,0.0,0.00164,9010000,619788603.0,0.07251631617113438,68.95
HK.03690,2018-10-11 00:00:00,67.0,62.0,67.0,60.0,0.0,0.00667,36620203,2340596546.0,-10.144927536231885,69.0
HK.03690,2018-10-12 00:00:00,61.8,59.3,62.3,58.25,0.0,0.00318,17488088,1054191288.0,-4.354838709677424,62.0
HK.03690,2018-10-15 00:00:00,60.0,55.45,61.95,53.7,0.0,0.00207,11367725,649184215.0,-6.492411467116348,59.3
HK.03690,2018-10-16 00:00:00,55.8,56.0,58.0,55.8,0.0,0.00255,14010749,792669481.0,0.9918845807033313,55.45
HK.03690,2018-10-18 00:00:00,57.1,55.0,57.95,53.9,0.0,0.00187,10245018,569584245.0,-1.7857142857142856,56.0
HK.03690,2018-10-19 00:00:00,55.1,55.0,55.5,52.8,0.0,0.00116,6373538,348874156.0,0.0,55.0
HK.03690,2018-10-22 00:00:00,56.2,58.5,60.35,54.25,0.0,0.00248,13604574,791607453.0,6.363636363636363,55.0
HK.03690,2018-10-23 00:00:00,58.55,55.05,59.0,54.1,0.0,0.00158,8703111,482165894.0,-5.897435897435902,58.5
HK.03690,2018-10-24 00:00:00,56.5,52.75,56.9,52.25,0.0,0.00175,9604413,512421510.0,-4.178019981834691,55.05
HK.03690,2018-10-25 00:00:00,50.15,55.0,55.2,50.15,0.0,0.00146,7989938,421582134.0,4.265402843601896,52.75
HK.03690,2018-10-26 00:00:00,55.3,52.75,55.9,51.75,0.0,0.00104,5718032,301136774.0,-4.090909090909091,55.0
HK.03690,2018-10-29 00:00:00,52.5,52.85,55.0,52.25,0.0,0.00124,6819861,363509852.0,0.18957345971564252,52.75
HK.03690,2018-10-30 00:00:00,52.3,50.15,53.1,49.8,0.0,0.00189,10378493,530214220.0,-5.108798486281936,52.85
HK.03690,2018-10-31 00:00:00,50.5,50.7,52.6,49.45,0.0,0.00302,16590628,841320236.0,1.096709870388842,50.15
HK.03690,2018-11-01 00:00:00,52.45,56.35,56.9,52.0,0.0,0.00337,18512139,988958654.0,11.143984220907296,50.7
HK.03690,2018-11-02 00:00:00,60.0,61.35,63.0,58.5,0.0,0.00355,19469470,1183257773.0,8.873114463176575,56.35
HK.03690,2018-11-05 00:00:00,60.0,62.15,64.4,59.6,0.0,0.00214,11757361,726209781.0,1.3039934800325952,61.35
HK.03690,2018-11-06 00:00:00,62.5,62.8,63.0,61.7,0.0,0.00084,4586359,285971374.0,1.0458567980691853,62.15
HK.03690,2018-11-07 00:00:00,62.8,62.05,63.5,61.45,0.0,0.00063,3474958,216479402.0,-1.194267515923567,62.8
HK.03690,2018-11-08 00:00:00,62.8,59.8,63.2,59.55,0.0,0.00079,4331755,264486942.0,-3.62610797743755,62.05
HK.03690,2018-11-09 00:00:00,60.0,56.3,60.05,55.0,0.0,0.00127,6976039,391763193.0,-5.852842809364549,59.8
HK.03690,2018-11-12 00:00:00,56.4,53.95,56.45,52.35,0.0,0.00134,7366316,398613877.0,-4.174067495559493,56.3
HK.03690,2018-11-13 00:00:00,51.3,54.55,55.2,51.3,0.0,0.00129,7060621,377241037.0,1.112140871177005,53.95
HK.03690,2018-11-14 00:00:00,55.2,56.9,58.6,53.25,0.0,0.00082,4528430,254118598.0,4.307974335472046,54.55
HK.03690,2018-11-15 00:00:00,57.5,57.5,58.15,56.05,0.0,0.0006,3307828,188772947.0,1.0544815465729374,56.9
HK.03690,2018-11-16 00:00:00,57.8,58.3,59.4,57.0,0.0,0.00104,5727882,329886628.0,1.391304347826082,57.5
HK.03690,2018-11-19 00:00:00,58.5,58.35,60.0,57.6,0.0,0.00098,5370348,313229405.0,0.08576329331047045,58.3
HK.03690,2018-11-20 00:00:00,56.9,57.0,57.95,56.25,0.0,0.00105,5786600,328993008.0,-2.3136246786632415,58.35
HK.03690,2018-11-21 00:00:00,57.0,59.7,60.2,56.35,0.0,0.00155,8520454,506066438.0,4.736842105263163,57.0
HK.03690,2018-11-22 00:00:00,60.7,61.05,63.0,59.0,0.0,0.00172,9433464,581205006.0,2.261306532663307,59.7
HK.03690,2018-11-23 00:00:00,56.05,53.85,57.0,52.25,0.0,0.00336,18461332,1008645099.0,-11.793611793611786,61.05
HK.03690,2018-11-26 00:00:00,53.95,52.65,54.1,50.9,0.0,0.00156,8579817,444832515.0,-2.228412256267415,53.85
HK.03690,2018-11-27 00:00:00,51.85,50.95,53.1,50.05,0.0,0.00164,9010569,460387495.0,-3.2288698955365542,52.65
HK.03690,2018-11-28 00:00:00,51.1,53.0,53.05,49.65,0.0,0.00188,10342326,528834423.0,4.02355250245338,50.95
HK.03690,2018-11-29 00:00:00,53.9,50.5,55.25,50.25,0.0,0.00176,9647537,503928238.0,-4.716981132075472,53.0
HK.03690,2018-11-30 00:00:00,51.0,52.45,53.4,51.0,0.0,0.00143,7860149,412780235.0,3.861386138613867,50.5
HK.03690,2018-12-03 00:00:00,55.05,55.5,55.55,54.0,0.0,0.00186,10186476,558679283.0,5.815061963775018,52.45
HK.03690,2018-12-04 00:00:00,55.55,53.85,55.55,53.0,0.0,0.00096,5265125,283467795.0,-2.97297297297297,55.5
HK.03690,2018-12-05 00:00:00,52.85,54.65,55.3,51.65,0.0,0.00107,5854445,313213702.0,1.4856081708449342,53.85
HK.03690,2018-12-06 00:00:00,54.8,54.0,54.8,52.25,0.0,0.00175,9598571,513834796.0,-1.189387008234215,54.65
HK.03690,2018-12-07 00:00:00,53.0,54.0,54.45,52.9,0.0,0.0007,3870878,209012862.0,0.0,54.0
HK.03690,2018-12-10 00:00:00,53.95,52.05,54.0,51.65,0.0,0.00114,6282378,329165581.0,-3.6111111111111165,54.0
HK.03690,2018-12-11 00:00:00,53.0,52.5,53.25,51.9,0.0,0.00097,5323958,278684908.0,0.8645533141210429,52.05
HK.03690,2018-12-12 00:00:00,53.95,52.3,53.95,52.1,0.0,0.00076,4180258,219210708.0,-0.38095238095238637,52.5
HK.03690,2018-12-13 00:00:00,52.55,52.35,53.1,52.05,0.0,0.00081,4430980,232086970.0,0.09560229445507508,52.3
HK.03690,2018-12-14 00:00:00,52.3,52.6,53.0,51.55,0.0,0.00088,4849676,253958999.0,0.4775549188156638,52.35
HK.03690,2018-12-17 00:00:00,52.7,51.85,52.7,50.65,0.0,0.00068,3721475,191439953.0,-1.4258555133079849,52.6
HK.03690,2018-12-18 00:00:00,51.8,47.9,51.8,47.9,0.0,0.00157,8637104,424648172.0,-7.61812921890068,51.85
HK.03690,2018-12-19 00:00:00,48.15,45.8,48.5,45.2,0.0,0.00168,9201997,424663366.0,-4.384133611691026,47.9
HK.03690,2018-12-20 00:00:00,45.6,44.85,47.4,44.6,0.0,0.00158,8695876,394521569.0,-2.074235807860253,45.8
HK.03690,2018-12-21 00:00:00,44.25,46.9,47.0,43.1,0.0,0.00172,9429505,423700335.0,4.57079152731326,44.85
HK.03690,2018-12-24 00:00:00,46.2,44.25,46.2,43.2,0.0,0.00048,2629925,116223626.0,-5.650319829424304,46.9
HK.03690,2018-12-27 00:00:00,46.45,45.8,46.5,45.1,0.0,0.00162,8884712,406803035.0,3.502824858757056,44.25
HK.03690,2018-12-28 00:00:00,45.9,44.05,45.9,44.05,0.0,0.00075,4137428,184980626.0,-3.820960698689957,45.8
HK.03690,2018-12-31 00:00:00,44.95,43.9,45.15,43.4,0.0,0.00099,5459196,241637753.0,-0.3405221339387028,44.05
HK.03690,2019-01-02 00:00:00,43.6,41.2,44.25,41.15,0.0,0.00113,6185730,262047202.0,-6.1503416856491935,43.9
HK.03690,2019-01-03 00:00:00,41.1,41.25,42.65,40.25,0.0,0.00088,4813333,199114801.0,0.12135922330096396,41.2
HK.03690,2019-01-04 00:00:00,41.95,44.0,44.45,40.8,0.0,0.00187,10293472,438106345.0,6.666666666666667,41.25
HK.03690,2019-01-07 00:00:00,44.7,45.45,46.25,44.5,0.0,0.00107,5853496,266773568.0,3.295454545454552,44.0
HK.03690,2019-01-08 00:00:00,44.8,43.9,46.45,43.25,0.0,0.00106,5837715,259530609.0,-3.4103410341034195,45.45
HK.03690,2019-01-09 00:00:00,45.55,45.6,46.2,44.3,0.0,0.00133,7311038,331741981.0,3.872437357630986,43.9
HK.03690,2019-01-10 00:00:00,44.95,44.95,46.2,44.6,0.0,0.00106,5847194,265903195.0,-1.4254385964912248,45.6
HK.03690,2019-01-11 00:00:00,45.75,45.5,46.2,45.0,0.0,0.00084,4624201,210225872.0,1.2235817575083363,44.95
HK.03690,2019-01-14 00:00:00,44.5,43.9,45.25,42.95,0.0,0.00174,9530176,417688287.0,-3.51648351648352,45.5
HK.03690,2019-01-15 00:00:00,44.0,43.75,44.95,42.8,0.0,0.00102,5590377,244473647.0,-0.34168564920273026,43.9
HK.03690,2019-01-16 00:00:00,44.25,44.6,44.7,43.0,0.0,0.00185,10180878,448612426.0,1.9428571428571462,43.75
HK.03690,2019-01-17 00:00:00,44.65,44.2,45.35,43.95,0.0,0.00076,4152604,184735783.0,-0.896860986547082,44.6
HK.03690,2019-01-18 00:00:00,45.05,45.55,46.0,44.7,0.0,0.00139,7606369,345329959.0,3.0542986425339236,44.2
HK.03690,2019-01-21 00:00:00,45.55,45.65,47.45,44.9,0.0,0.00145,7943218,365319321.0,0.21953896816685275,45.55
HK.03690,2019-01-22 00:00:00,45.6,43.9,46.4,42.5,0.0,0.00115,6306301,275218558.0,-3.833515881708653,45.65
HK.03690,2019-01-23 00:00:00,43.25,43.45,44.1,43.0,0.0,0.0005,2731700,119200761.0,-1.0250569476081908,43.9
HK.03690,2019-01-24 00:00:00,43.5,43.6,44.5,42.6,0.0,0.0007,3857606,168320016.0,0.34522439585730397,43.45
HK.03690,2019-01-25 00:00:00,44.35,47.85,48.45,44.35,0.0,0.00256,14030655,660519105.0,9.747706422018348,43.6
HK.03690,2019-01-28 00:00:00,49.8,47.45,50.45,47.0,0.0,0.00156,8586835,417573031.0,-0.8359456635318674,47.85
HK.03690,2019-01-29 00:00:00,47.3,47.5,47.95,46.2,0.0,0.00106,5815645,274857625.0,0.10537407797681171,47.45
HK.03690,2019-01-30 00:00:00,48.0,49.0,49.35,47.8,0.0,0.00101,5523526,268014845.0,3.1578947368421053,47.5
HK.03690,2019-01-31 00:00:00,50.0,53.3,53.95,49.5,0.0,0.00232,12735987,665974217.0,8.775510204081627,49.0
HK.03690,2019-02-01 00:00:00,54.0,53.8,55.95,51.7,0.0,0.00261,14357202,775191932.0,0.9380863039399625,53.3
HK.03690,2019-02-04 00:00:00,53.8,54.65,54.95,52.65,0.0,0.00265,14578867,782172586.0,1.5799256505576236,53.8
HK.03690,2019-02-08 00:00:00,52.9,57.9,58.35,52.9,0.0,0.00115,6340228,355381223.0,5.9469350411710895,54.65
