code,date,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00267,2012-01-26,10.642,10.962,11.162,10.642,6.05,0.00198,7239039,106935024.0,3.787161522438936,10.562
HK.00267,2012-01-27,10.882,11.062,11.382,10.882,6.091,0.00166,6046063,90251312.0,0.9122422915526333,10.962
HK.00267,2012-01-30,10.902,10.782,11.262,10.722,5.977,0.00109,3987251,58832780.0,-2.531187850298313,11.062
HK.00267,2012-01-31,10.982,11.042,11.042,10.662,6.083,0.00144,5238200,77210368.0,2.411426451493228,10.782
HK.00267,2012-02-01,10.902,11.022,11.022,10.802,6.075,0.00098,3586304,52758492.0,-0.1811266074986376,11.042
HK.00267,2012-02-02,11.062,11.342,11.362,11.042,6.206,0.00213,7755179,116630864.0,2.9032843404100914,11.022
HK.00267,2012-02-03,11.342,11.342,11.382,11.102,6.206,0.00138,5038530,75970872.0,0.0,11.342
HK.00267,2012-02-06,11.442,11.402,11.642,11.322,6.23,0.00153,5586176,85383480.0,0.5290072297654621,11.342
HK.00267,2012-02-07,11.422,11.282,11.582,11.202,6.181,0.00095,3463241,52441000.0,-1.0524469391334783,11.402
HK.00267,2012-02-08,11.382,11.682,11.702,11.302,6.345,0.00122,4460476,68539632.0,3.545470661230281,11.282
HK.00267,2012-02-09,11.682,12.042,12.062,11.482,6.492,0.00196,7143346,112434576.0,3.0816640986132464,11.682
HK.00267,2012-02-10,11.942,11.682,12.042,11.642,6.345,0.00086,3127693,48586488.0,-2.989536621823613,12.042
HK.00267,2012-02-13,11.682,11.822,11.842,11.442,6.402,0.00069,2513050,39045912.0,1.1984249272384762,11.682
HK.00267,2012-02-14,11.842,11.722,11.842,11.462,6.361,0.00098,3570107,55109544.0,-0.8458805616646901,11.822
HK.00267,2012-02-15,11.782,11.842,11.962,11.522,6.411,0.00108,3943745,61601844.0,1.023716089404547,11.722
HK.00267,2012-02-16,11.822,11.482,11.822,11.282,6.263,0.00255,9314493,141994464.0,-3.040027022462432,11.842
HK.00267,2012-02-17,11.562,10.862,11.602,10.742,6.009,0.00584,21310640,313868224.0,-5.399756140045282,11.482
HK.00267,2012-02-20,10.902,10.522,11.062,10.462,5.87,0.00325,11869348,172288160.0,-3.1301786043085977,10.862
HK.00267,2012-02-21,10.602,10.602,10.662,10.482,5.903,0.00141,5158409,74290264.0,0.7603117278084021,10.522
HK.00267,2012-02-22,10.482,10.722,10.782,10.482,5.952,0.00194,7084316,102531056.0,1.1318619128466254,10.602
HK.00267,2012-02-23,10.502,10.702,10.702,10.502,5.944,0.00144,5258570,76010560.0,-0.1865323633650398,10.722
HK.00267,2012-02-24,10.722,10.722,10.742,10.542,5.952,0.00163,5938200,85886272.0,0.186880956830495,10.702
HK.00267,2012-02-27,10.662,10.442,10.982,10.282,5.837,0.00281,10244893,146771104.0,-2.611453087110608,10.722
HK.00267,2012-02-28,10.442,10.442,10.582,10.382,5.837,0.00184,6705169,95736904.0,0.0,10.442
HK.00267,2012-02-29,10.502,10.782,10.802,10.482,5.977,0.00201,7323168,106482176.0,3.256081210496072,10.442
HK.00267,2012-03-01,10.802,10.702,11.102,10.522,5.739,0.00373,13601578,198952320.0,-0.7419773696902251,10.782
HK.00267,2012-03-02,10.622,10.342,10.642,10.022,5.597,0.00417,15230116,214861744.0,-3.363857222948976,10.702
HK.00267,2012-03-05,10.362,10.222,10.362,10.182,5.549,0.0013,4744435,66651592.0,-1.16031715335526,10.342
HK.00267,2012-03-06,10.202,10.062,10.302,10.022,5.486,0.00181,6623340,92281088.0,-1.565251418509099,10.222
HK.00267,2012-03-07,9.882,9.782,10.082,9.722,5.376,0.00217,7905553,108314232.0,-2.7827469687934743,10.062
HK.00267,2012-03-08,9.882,9.942,10.162,9.882,5.439,0.00148,5386406,74428264.0,1.6356573297894104,9.782
HK.00267,2012-03-09,9.962,9.822,10.042,9.742,5.391,0.00281,10272780,140451056.0,-1.2070006035003118,9.942
HK.00267,2012-03-12,9.762,9.802,9.882,9.522,5.383,0.00195,7108108,95969312.0,-0.2036245163917692,9.822
HK.00267,2012-03-13,9.922,9.842,9.922,9.782,5.399,0.0016,5826046,79557872.0,0.40807998367681,9.802
HK.00267,2012-03-14,9.982,9.822,10.062,9.722,5.391,0.00185,6768544,92916496.0,-0.2032107295265326,9.842
HK.00267,2012-03-15,9.862,9.862,9.962,9.702,5.407,0.00088,3198363,43731496.0,0.4072490327835565,9.822
HK.00267,2012-03-16,9.742,9.682,9.802,9.642,5.336,0.00146,5336515,72078160.0,-1.8251875887243936,9.862
HK.00267,2012-03-19,9.722,9.422,9.722,9.322,5.233,0.00245,8933538,119334880.0,-2.685395579425736,9.682
HK.00267,2012-03-20,9.362,9.362,9.462,9.242,5.21,0.00116,4220696,55543512.0,-0.6368074718743418,9.422
HK.00267,2012-03-21,9.382,9.302,9.422,9.222,5.186,0.00097,3551662,46540572.0,-0.6408886989959464,9.362
HK.00267,2012-03-22,9.282,9.282,9.342,9.242,5.178,0.00093,3387057,44373296.0,-0.2150075252633796,9.302
HK.00267,2012-03-23,9.182,9.202,9.282,9.122,5.146,0.00155,5653740,73480968.0,-0.861883214824392,9.282
HK.00267,2012-03-26,9.242,9.302,9.522,9.162,5.186,0.00087,3180464,41905928.0,1.0867202782003875,9.202
HK.00267,2012-03-27,9.462,9.562,9.602,9.422,5.289,0.00161,5880715,78458048.0,2.7950978284239927,9.302
HK.00267,2012-03-28,9.562,9.382,9.562,9.342,5.217,0.00097,3545300,46929008.0,-1.882451370006272,9.562
HK.00267,2012-03-29,9.342,9.282,9.362,9.182,5.178,0.00136,4951229,64709316.0,-1.0658708164570416,9.382
HK.00267,2012-03-30,9.382,9.262,9.382,9.202,5.17,0.001,3632208,47545856.0,-0.2154708037060932,9.282
HK.00267,2012-04-02,9.182,9.182,9.222,8.982,5.138,0.00165,6019209,78073824.0,-0.863744331677824,9.262
HK.00267,2012-04-03,9.022,9.242,9.242,9.022,5.162,0.0013,4737184,61446488.0,0.6534524068830374,9.182
HK.00267,2012-04-05,9.142,9.162,9.202,8.982,5.13,0.00058,2115400,27347444.0,-0.8656135035706564,9.242
HK.00267,2012-04-10,9.182,9.122,9.282,9.102,5.115,0.00066,2425852,31526714.0,-0.4365858982754957,9.162
HK.00267,2012-04-11,9.062,8.962,9.122,8.882,5.051,0.00074,2714300,34690120.0,-1.7540013155009884,9.122
HK.00267,2012-04-12,8.882,8.962,9.002,8.822,5.051,0.00076,2785910,35458344.0,0.0,8.962
HK.00267,2012-04-13,9.102,9.042,9.162,9.002,5.083,0.00084,3053160,39350556.0,0.8926578888640936,8.962
HK.00267,2012-04-16,9.022,9.062,9.142,8.982,5.091,0.00073,2659359,34234252.0,0.2211900022118953,9.042
HK.00267,2012-04-17,9.082,9.042,9.222,9.002,5.083,0.0014,5100604,65767112.0,-0.2207018318251994,9.062
HK.00267,2012-04-18,9.142,9.182,9.342,9.102,5.138,0.00118,4301526,55970524.0,1.5483300154833064,9.042
HK.00267,2012-04-19,9.182,9.202,9.242,9.102,5.146,0.00069,2506329,32594404.0,0.217817468961006,9.182
HK.00267,2012-04-20,9.122,9.142,9.182,9.042,5.123,0.00084,3071015,39650412.0,-0.6520321669202401,9.202
HK.00267,2012-04-23,9.182,8.842,9.182,8.822,5.004,0.00135,4940760,62885380.0,-3.281557646029304,9.142
HK.00267,2012-04-24,8.782,8.782,8.862,8.662,4.98,0.00118,4311777,54145708.0,-0.6785795068988972,8.842
HK.00267,2012-04-25,8.762,8.822,8.922,8.762,4.996,0.00057,2083314,26316332.0,0.4554771122750984,8.782
HK.00267,2012-04-26,8.902,8.842,8.922,8.702,5.004,0.00056,2053230,25980196.0,0.2267059623668255,8.822
HK.00267,2012-04-27,8.942,8.802,8.942,8.682,4.988,0.00074,2701777,34161772.0,-0.4523863379326048,8.842
HK.00267,2012-04-30,8.842,8.962,9.162,8.842,5.051,0.00073,2660751,34092048.0,1.8177686889343347,8.802
HK.00267,2012-05-02,9.022,9.042,9.142,9.002,5.083,0.00121,4431217,57107736.0,0.8926578888640936,8.962
HK.00267,2012-05-03,9.082,9.002,9.122,8.942,5.067,0.00045,1637002,21003672.0,-0.4423800044237906,9.042
HK.00267,2012-05-04,8.782,8.782,8.862,8.722,4.98,0.00119,4356167,54847528.0,-2.4439013552543947,9.002
HK.00267,2012-05-07,8.522,8.662,8.782,8.522,4.933,0.00087,3170300,39417928.0,-1.3664313368253156,8.782
HK.00267,2012-05-08,8.662,8.622,8.782,8.582,4.917,0.00062,2252334,28091108.0,-0.4617871161394703,8.662
HK.00267,2012-05-09,8.542,8.542,8.642,8.482,4.885,0.00091,3310675,40941640.0,-0.9278589654372544,8.622
HK.00267,2012-05-10,8.562,8.362,8.562,8.182,4.814,0.00135,4927600,59976044.0,-2.1072348396160114,8.542
