code,date,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00386,2012-01-26,3.713166,3.6670122,3.7285506,3.636243,9.392,0.00368,80229905,565991488.0,2.361974464638461,3.5823969
HK.00386,2012-01-27,3.5670123,3.7362429,3.7439352,3.5670123,9.484,0.00377,82169594,580341312.0,1.8879320881452293,3.6670122
HK.00386,2012-01-30,3.867012,3.7362429,3.8900889,3.7208583,9.484,0.00758,165439653,1184785408.0,0.0,3.7362429
HK.00386,2012-01-31,3.790089,3.8823966,3.8977812,3.7823967,9.679,0.0064,139687964,1008195264.0,3.911782609208832,3.7362429
HK.00386,2012-02-01,3.8362428,3.8977812,3.943935,3.8131659,9.7,0.00436,95066961,690463872.0,0.3962655438138384,3.8823966
HK.00386,2012-02-02,4.0747041,4.0439349,4.0747041,3.9823965,9.902,0.00388,84562670,624773568.0,3.749664039633629,3.8977812
HK.00386,2012-02-03,3.9516273,4.0362426,4.0593195,3.9516273,9.892,0.00456,99378281,733128576.0,-0.1902181956490058,4.0439349
HK.00386,2012-02-06,4.0362426,3.8208582,4.0593195,3.7823967,9.604,0.00665,145020220,1049190464.0,-5.33626001568884,4.0362426
HK.00386,2012-02-07,3.8208582,3.7747044,3.8823966,3.7285506,9.542,0.00499,108963847,780064384.0,-1.207943283527243,3.8208582
HK.00386,2012-02-08,3.8516274,3.9054735,3.9747042,3.8285505,9.717,0.00615,134196379,975709184.0,3.4643533941359688,3.7747044
HK.00386,2012-02-09,3.9208581,3.8131659,3.9362427,3.7670121,9.594,0.00637,139012796,1001975424.0,-2.3635443948089736,3.9054735
HK.00386,2012-02-10,3.790089,3.7208583,3.7977813,3.6131661,9.47,0.00617,134692396,951869568.0,-2.420760135298593,3.8131659
HK.00386,2012-02-13,3.7054737,3.7670121,3.8054736,3.7054737,9.532,0.0042,91529578,651623360.0,1.240407354399922,3.7208583
HK.00386,2012-02-14,3.6977814,3.6670122,3.790089,3.636243,9.398,0.00274,59871552,421972032.0,-2.654621151867292,3.7670121
HK.00386,2012-02-15,3.6900891,3.8131659,3.8208582,3.6131661,9.594,0.00676,147495743,1047711488.0,3.985634408306582,3.6670122
HK.00386,2012-02-16,3.713166,3.7054737,3.7593198,3.6439353,9.45,0.00635,138552720,977048960.0,-2.824220157848359,3.8131659
HK.00386,2012-02-17,3.7823967,3.8362428,3.8439351,3.7208583,9.624,0.0042,91647784,654414656.0,3.529079156600133,3.7054737
HK.00386,2012-02-20,3.9054735,3.4439355,3.9208581,3.4362432,9.1,0.01268,276551204,1917941632.0,-10.226341773779286,3.8362428
