code,date,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.02388,2012-01-26,7.778,7.678,7.878,7.578,13.578,0.00128,13565796,282326400.0,1.9925611052072312,7.528
HK.02388,2012-01-27,7.778,7.628,7.828,7.128,13.546,0.00128,13523237,279335808.0,-0.6512112529304483,7.678
HK.02388,2012-01-30,7.728,7.228,7.728,7.228,13.285,0.00114,12042365,246503552.0,-5.24383848977452,7.628
HK.02388,2012-01-31,7.278,7.378,7.578,7.128,13.382,0.00101,10670100,218776080.0,2.075262866629778,7.228
HK.02388,2012-02-01,7.328,7.178,7.528,7.128,13.252,0.00073,7762363,158505584.0,-2.710761724044459,7.378
HK.02388,2012-02-02,7.578,7.528,7.728,7.378,13.48,0.00131,13824737,285138080.0,4.876010030649201,7.178
HK.02388,2012-02-03,7.528,7.478,7.678,7.378,13.448,0.0008,8492953,175026400.0,-0.6641870350690731,7.528
HK.02388,2012-02-06,7.778,7.578,7.828,7.328,13.513,0.00106,11228421,232003808.0,1.3372559507889883,7.478
HK.02388,2012-02-07,7.728,7.778,7.878,7.628,13.644,0.00138,14608081,305240960.0,2.639218791237784,7.578
HK.02388,2012-02-08,7.878,8.378,8.378,7.778,14.035,0.00143,15077580,319953088.0,7.714065312419652,7.778
HK.02388,2012-02-09,8.378,8.578,8.678,8.128,14.166,0.00197,20777324,449549472.0,2.3872045834327915,8.378
HK.02388,2012-02-10,8.678,8.478,8.778,8.228,14.101,0.00161,17053532,368388544.0,-1.165772907437627,8.578
HK.02388,2012-02-13,8.578,8.378,8.578,8.128,14.035,0.00127,13410684,288639616.0,-1.1795234725170989,8.478
HK.02388,2012-02-14,8.428,8.228,8.478,8.178,13.937,0.00087,9213100,197322320.0,-1.7904034375746043,8.378
HK.02388,2012-02-15,8.378,8.578,8.728,8.228,14.166,0.00166,17517814,380372864.0,4.253767622751576,8.228
HK.02388,2012-02-16,8.578,8.628,8.778,8.428,14.198,0.0014,14774211,321434944.0,0.5828864537188239,8.578
HK.02388,2012-02-17,8.778,8.728,8.978,8.478,14.264,0.00108,11442006,250193856.0,1.159017153453867,8.628
HK.02388,2012-02-20,8.978,8.928,9.078,8.778,14.394,0.00122,12911680,284727520.0,2.2914757103574823,8.728
HK.02388,2012-02-21,8.778,8.828,8.978,8.528,14.329,0.00092,9720224,212607968.0,-1.1200716845878294,8.928
HK.02388,2012-02-22,8.728,8.828,9.028,8.728,14.329,0.00081,8602676,189395280.0,0.0,8.828
